Participant,Gender,Consonant,Following_Vowel,Rating,Stimuli,Curvature_Degree,Curvature_Location,MCI,real_1,imag_1,mod_1,F2_mean,F3_mean,COG,Dispersion,Skewness
P16,F,s,i,Alveolar,siji,0.2597407,0.561912633,1.908932376,34.77936346,-52.87417649,63.28730254,2080.737267,3104.511028,6486.108891,3061.002149,-0.933694744
P16,F,ch,i,humped,chifan,0.288802702,0.490905558,2.194020482,29.45242869,-56.57998153,63.78667467,2703.439407,3747.557879,4643.0639,2140.809011,0.326604432
P16,F,c,i,Alveolar,ciya,0.301954872,0.581450605,2.28151501,30.27463594,-56.01352025,63.67156377,2086.050074,3069.960191,6271.277779,2979.910492,-0.707953135
P16,F,sh,i,humped,shibai,0.313058978,0.396065698,2.667768287,25.02702085,-59.81168412,64.83663571,2536.451246,3684.730651,4264.013102,2022.713806,0.393554835
P16,F,z,i,Alveolar,ziben,0.244011342,0.580287787,2.418577454,6.594253469,-64.17069434,64.50862106,1886.094793,2995.385342,6843.043772,3096.127828,-1.100908154
P16,F,zh,a,humped,zhadui,0.320015265,0.484908165,2.131674568,17.73925399,-61.61404616,64.11686062,2103.531524,3328.151294,3503.957624,2361.835024,0.363004732
P16,F,ch,a,humped,chaqu,0.317043433,0.520298227,2.046933551,20.02686671,-62.56557098,65.69266369,2222.634361,3175.51347,2885.813981,1845.260789,1.097549815
P16,F,s,a,Alveolar,sahuang,0.244385218,0.57996962,2.036276161,33.66318669,-51.69618909,61.69040529,1785.839741,2874.995506,6670.541987,2814.574528,-1.09773562
P16,F,c,a,Alveolar,cayao,0.331392799,0.566408379,2.605920739,4.721911746,-65.01465047,65.18589745,1909.873479,2906.940137,3492.742641,2870.415145,0.655866101
P16,F,sh,a,humped,shafa,0.300801346,0.516969061,2.647893544,15.85775003,-65.61200647,67.50113798,2451.428467,2966.455981,3931.718482,2148.266916,0.660012141
P16,F,zh,u,humped,zhurou,0.337957888,0.547334512,2.852461318,17.05165576,-60.64688685,62.99844323,2044.514322,3292.64396,4104.940204,2116.572515,-0.115589163
P16,F,zh,i,humped,zhidao,0.309142734,0.554384167,2.270872324,19.52478221,-61.81382702,64.82411844,2942.666707,3677.284599,4248.957608,2173.537815,0.059229702
P16,F,z,u,Alveolar,zufang,0.359380357,0.674040917,2.914173467,-13.82310494,-62.62849451,64.13584454,2129.870112,3342.637246,4804.534169,3191.572815,-0.01330072
P16,F,c,u,Alveolar,cuxin,0.403735343,0.603307841,3.037672325,-7.365723649,-61.21121393,61.65279065,2004.030851,3211.54792,4946.971729,3021.877027,0.028308775
P16,F,s,u,Alveolar,suxing,0.361655035,0.641687081,2.999390698,-13.08879428,-49.79218338,51.48376503,1971.369995,3217.999643,5579.523004,2809.148159,-0.51182349
P17,F,sh,u,humped,shuben,0.355303946,0.471796807,3.596246942,36.5955087,-32.88615261,49.20091757,2007.407125,3265.168167,3836.333607,2725.389937,0.538319122
P17,F,ch,u,humped,churu,0.303998801,0.437492174,2.41796607,34.8070942,-37.01695169,50.81130306,2000.060688,3278.175061,4468.932335,2629.446499,0.096167978
P17,F,z,a,Alveolar,zadao,0.221317882,0.428665925,1.656238038,34.31349893,-51.08988116,61.54341692,2371.246536,3503.529609,7041.927758,2534.262406,-1.271913169
P17,F,s,i,Alveolar,siji,0.257033191,0.426351785,1.906712297,22.95031961,-57.35740491,61.77854861,2038.777522,3125.653224,7096.32773,2608.490127,-1.474114811
P17,F,ch,i,humped,chifan,0.235923032,0.369191664,2.237760868,32.94503887,-15.8436449,36.55675956,2414.892424,3215.724981,4777.231003,2689.232782,0.298818095
P17,F,c,i,Alveolar,ciya,0.328244842,0.503036769,2.196205437,31.74135982,-50.46123652,59.6141788,2148.223328,3253.094419,7715.03588,2338.929544,-1.772895816
P17,F,sh,i,humped,shibai,0.233965683,0.458423286,2.528288848,28.6006637,-19.3465994,34.52953623,2527.231741,3277.772595,4592.452117,2456.803357,0.404016771
